collisionID weather road light wind temperature
125 Overcast Wet "mostly dark" 5,82 38,0
126 Overcast Wet "mostly dark" 5,82 38,0
127 Clear Dry "mostly dark" 5,82 38,0
128 Clear Wet  5,82 38,0
129 Overcast Wet "mostly dark" 5,82 38,0
130 Clear Wet "mostly dark" 8,5 48,0
131 Raining Wet "mostly dark" 8,5 48,0
132 Raining Wet "mostly dark" 8,5 48,0
133 Raining Wet "mostly dark" 8,5 48,0
134 Raining Wet bright 8,5 48,0
135 Raining Wet bright 8,5 48,0
136 Raining Wet bright 8,5 48,0
137 Raining Wet bright 8,5 48,0
138 Raining Wet bright 8,5 48,0
139 Raining Wet bright 8,5 48,0
140 Raining Wet bright 8,5 48,0
141 Raining Wet bright 8,5 48,0
142 Raining Wet bright 8,5 48,0
143 Raining Wet "mostly bright" 8,5 48,0
144 Raining Wet bright 8,5 48,0
145 Raining Wet "mostly dark" 8,5 48,0
146 Raining Wet "mostly dark" 8,5 48,0
147 Raining Wet "mostly dark" 8,5 48,0
148 Raining Wet "mostly dark" 8,5 48,0
149 Raining Wet "mostly dark" 8,5 48,0
150 Raining Wet "mostly dark" 8,5 48,0
151 Raining Wet "mostly dark" 8,5 48,0
152 Raining Wet "mostly dark" 8,5 48,0
153 Overcast Wet "mostly dark" 8,5 48,0
154 Raining Wet "mostly bright" 8,72 57,0
155 Raining Wet bright 8,72 57,0
156 Raining Dry bright 8,72 57,0
157 Raining Wet "mostly bright" 8,72 57,0
158 Raining Wet bright 8,72 57,0
159 Raining Wet bright 8,72 57,0
160 Overcast Wet bright 8,72 57,0
161 Overcast Dry bright 8,72 57,0
162 Overcast Dry bright 8,72 57,0
163 Raining Wet bright 8,72 57,0
164 Overcast Wet bright 8,72 57,0
165 Raining Wet bright 8,72 57,0
166 Raining Wet bright 8,72 57,0
167 Overcast Wet bright 8,72 57,0
168 Raining Wet bright 8,72 57,0
169 Raining Wet bright 8,72 57,0
170 Raining Wet bright 8,72 57,0
171 Raining Wet bright 8,72 57,0
172 Raining Wet "mostly dark" 8,72 57,0
173 Raining Wet "mostly bright" 8,72 57,0
174 Raining Wet bright 8,72 57,0
175 Raining Wet "mostly dark" 8,72 57,0
176 Raining Wet "mostly dark" 8,72 57,0
177 Raining Wet "mostly dark" 8,72 57,0
178 Raining Wet "mostly dark" 8,72 57,0
179 Raining Wet "mostly dark" 8,72 57,0
180 Raining Wet "mostly dark" 8,72 57,0
181 Raining Wet "mostly dark" 8,72 57,0
182 Raining Wet "mostly dark" 8,72 57,0
183 Overcast Wet "mostly dark" 8,72 57,0
184 Overcast Wet  4,25 56,0
185 Overcast Wet "mostly bright" 4,25 56,0
186 Clear Dry bright 4,25 56,0
187 Overcast Wet bright 4,25 56,0
188 Clear Dry bright 4,25 56,0
189 Overcast Wet bright 4,25 56,0
190 Clear Dry bright 4,25 56,0
191 Clear Dry bright 4,25 56,0
192 Clear Dry bright 4,25 56,0
193 Clear Dry bright 4,25 56,0
194 Overcast Wet bright 4,25 56,0
195 Clear Dry bright 4,25 56,0
196 Clear Dry bright 4,25 56,0
197 Clear Dry bright 4,25 56,0
198 Clear Dry bright 4,25 56,0
199 Overcast Dry bright 4,25 56,0
200 Overcast Dry "mostly bright" 4,25 56,0
201 Clear Dry "mostly bright" 4,25 56,0
202 Clear Dry "mostly dark" 4,25 56,0
203 Clear Dry "mostly dark" 4,25 56,0
204 Clear Dry "mostly dark" 4,25 56,0
205 Clear Dry "mostly dark" 4,25 56,0
206 Clear Dry "mostly dark" 4,25 56,0
207 Overcast Dry "mostly dark" 4,25 56,0
208 Clear Wet "mostly dark" 6,49 52,0
209 Overcast Dry bright 6,49 52,0
210 Overcast Dry bright 6,49 52,0
211 Clear Dry bright 6,49 52,0
212 Overcast Wet bright 6,49 52,0
213 Clear Wet bright 6,49 52,0
214 Clear Dry bright 6,49 52,0
215 Overcast Wet bright 6,49 52,0
216 Raining Wet bright 6,49 52,0
217 Overcast Snow/Slush "mostly bright" 6,49 52,0
218 Clear Dry "mostly dark" 6,49 52,0
219 Raining Wet "mostly dark" 6,49 52,0
220 Clear Dry "mostly dark" 6,49 52,0
221 Clear Dry "mostly dark" 6,49 52,0
222 Raining Dry "mostly dark" 6,49 52,0
223 Overcast Wet "mostly dark" 6,49 52,0
224 Overcast Wet "mostly dark" 6,49 52,0
225 Overcast Wet "mostly dark" 2,24 55,0
226 Clear Dry "mostly dark" 2,24 55,0
227 Clear Wet "mostly dark" 2,24 55,0
228 Overcast Dry "mostly dark" 2,24 55,0
229 Overcast Wet "mostly dark" 2,24 55,0
230 Overcast Wet "mostly dark" 2,24 55,0
231 Raining Wet bright 2,24 55,0
232 Clear Wet bright 2,24 55,0
233 Fog/Smog/Smoke Wet bright 2,24 55,0
234 Overcast Wet bright 2,24 55,0
235 Clear Wet bright 2,24 55,0
236 Clear Wet bright 2,24 55,0
237 Overcast Wet bright 2,24 55,0
238 Overcast Wet bright 2,24 55,0
239 Clear Dry bright 2,24 55,0
240 Clear Dry bright 2,24 55,0
241 Overcast Dry bright 2,24 55,0
242 Overcast Dry bright 2,24 55,0
243 Clear Dry bright 2,24 55,0
244 Clear Dry bright 2,24 55,0
245 Clear Dry bright 2,24 55,0
246 Clear Dry bright 2,24 55,0
247 Clear Dry bright 2,24 55,0
248 Clear Dry "mostly dark" 2,24 55,0
249 Clear Dry "mostly dark" 2,24 55,0
250 Clear Dry "mostly dark" 2,24 55,0
251 Clear Dry "mostly dark" 2,24 55,0
252 Clear Dry "mostly dark" 2,24 55,0
253 Clear Wet "mostly dark" 2,24 55,0
254 Clear Dry "mostly dark" 2,24 55,0
255 Clear Dry  2,24 55,0
256 Overcast Dry "mostly dark" 3,8 53,0
257 Raining Wet "mostly dark" 3,8 53,0
258 Clear Dry "mostly dark" 3,8 53,0
259 Clear Dry bright 3,8 53,0
260 Clear Dry bright 3,8 53,0
261 Raining Wet bright 3,8 53,0
262 Clear Wet bright 3,8 53,0
263 Raining Wet bright 3,8 53,0
264 Raining Wet bright 3,8 53,0
265 Raining Wet bright 3,8 53,0
266 Raining Wet bright 3,8 53,0
267 Raining Wet bright 3,8 53,0
268 Raining Wet bright 3,8 53,0
269 Raining Wet bright 3,8 53,0
270 Overcast Wet bright 3,8 53,0
271 Raining Wet bright 3,8 53,0
272 Raining Wet bright 3,8 53,0
273 Raining Wet bright 3,8 53,0
274 Raining Wet "mostly dark" 3,8 53,0
275 Raining Wet "mostly dark" 3,8 53,0
276 Raining Wet "mostly dark" 3,8 53,0
277 Clear Wet "mostly dark" 3,8 53,0
278 Raining Wet "mostly dark" 3,8 53,0
279 Raining Wet "mostly dark" 3,8 53,0
280 Clear Dry bright 3,8 53,0
281 Raining Wet "mostly dark" 3,8 53,0
282 Overcast Wet "mostly dark" 3,8 53,0
283 Raining Wet "mostly dark" 3,8 53,0
284 Raining Wet "mostly dark" 3,8 53,0
285 Raining Wet "mostly dark" 3,8 53,0
286 Overcast Wet "mostly dark" 3,8 53,0
287 Overcast Wet "mostly dark" 3,8 53,0
288 Overcast Wet dark 3,8 53,0
289 Raining Wet "mostly dark" 3,8 53,0
290 Clear Dry "mostly dark" 3,8 53,0
291 Overcast Wet "mostly dark" 3,13 51,0
292 Overcast Wet "mostly dark" 3,13 51,0
293 Raining Wet "mostly dark" 3,13 51,0
294 Overcast Wet "mostly dark" 3,13 51,0
295 Clear Dry bright 3,13 51,0
296 Clear Dry bright 3,13 51,0
297 Clear Wet bright 3,13 51,0
298 Clear Dry bright 3,13 51,0
299 Overcast Dry bright 3,13 51,0
300 Overcast Wet bright 3,13 51,0
301 Overcast Dry  3,13 51,0
302 Overcast Dry "mostly dark" 3,13 51,0
303 Clear Dry "mostly dark" 3,13 51,0
304 Raining Wet "mostly dark" 3,13 51,0
305 Clear Dry "mostly dark" 3,13 51,0
306 Overcast Dry "mostly dark" 3,13 51,0
307 Clear Dry "mostly dark" 4,7 50,0
308 Clear Wet bright 4,7 50,0
309 Clear Dry bright 4,7 50,0
310 Clear Dry bright 4,7 50,0
311 Clear Dry bright 4,7 50,0
312 Clear Dry bright 4,7 50,0
313 Clear Dry bright 4,7 50,0
314 Clear Wet bright 4,7 50,0
315 Clear Dry bright 4,7 50,0
316 Clear Dry bright 4,7 50,0
317 Clear Dry bright 4,7 50,0
318 Clear Dry bright 4,7 50,0
319 Clear Dry bright 4,7 50,0
320 Clear Dry "mostly dark" 4,7 50,0
321 Clear Dry "mostly dark" 4,7 50,0
322 Clear Dry "mostly dark" 4,7 50,0
323 Clear Dry "mostly dark" 4,7 50,0
324 Clear Dry "mostly dark" 4,7 50,0
325 Clear Dry bright 4,7 50,0
326 Clear Dry "mostly dark" 1,57 44,0
327 Clear Dry "mostly dark" 1,57 44,0
328 Clear Dry bright 1,57 44,0
329 Clear Dry bright 1,57 44,0
330 Clear Dry bright 1,57 44,0
331 Clear Dry bright 1,57 44,0
332 Clear Dry bright 1,57 44,0
333 Clear Dry bright 1,57 44,0
334 Overcast Dry bright 1,57 44,0
335 Clear Dry bright 1,57 44,0
336 Clear Dry bright 1,57 44,0
337 Clear Dry bright 1,57 44,0
338 Overcast Dry "mostly bright" 1,57 44,0
339 Clear Dry "mostly dark" 1,57 44,0
340 Overcast Dry "mostly dark" 1,57 44,0
341 Overcast Dry "mostly dark" 1,57 44,0
342 Clear Dry "mostly dark" 1,57 44,0
343 Clear Dry "mostly dark" 1,57 44,0
344 Overcast Wet "mostly bright" 3,8 45,0
345 Overcast Wet "mostly dark" 3,8 45,0
346 Overcast Dry bright 3,8 45,0
347 Overcast Dry bright 3,8 45,0
348 Overcast Dry bright 3,8 45,0
349 Clear Dry bright 3,8 45,0
350 Raining Wet bright 3,8 45,0
351 Clear Dry bright 3,8 45,0
352 Overcast Dry bright 3,8 45,0
353 Overcast Dry bright 3,8 45,0
354 Overcast Wet bright 3,8 45,0
355 Raining Wet bright 3,8 45,0
356 Raining Wet "mostly bright" 3,8 45,0
357 Raining Wet "mostly bright" 3,8 45,0
358 Raining Wet "mostly dark" 3,8 45,0
359 Raining Wet "mostly dark" 3,8 45,0
360 Overcast Wet "mostly dark" 3,8 45,0
361 Raining Wet "mostly dark" 3,8 45,0
362 Raining Wet "mostly dark" 3,8 45,0
363 Clear Dry "mostly bright" 3,8 45,0
364 Overcast Dry "mostly dark" 3,8 45,0
365 Overcast Wet "mostly dark" 3,8 45,0
366 Overcast Wet "mostly dark" 3,8 45,0
367 Clear Wet "mostly dark" 3,8 45,0
368 Raining Wet "mostly dark" 3,8 45,0
369 Clear Dry bright 4,03 47,0
370 Overcast Dry bright 4,03 47,0
371 Clear Wet bright 4,03 47,0
372 Clear Wet bright 4,03 47,0
373 Clear Dry bright 4,03 47,0
374 Clear Dry bright 4,03 47,0
375 Clear Wet bright 4,03 47,0
376 Clear Dry bright 4,03 47,0
377 Clear Dry bright 4,03 47,0
378 Clear Dry bright 4,03 47,0
379 Overcast Dry bright 4,03 47,0
380 Clear Dry bright 4,03 47,0
381 Clear Dry bright 4,03 47,0
382 Clear Dry bright 4,03 47,0
383 Clear Dry bright 4,03 47,0
384 Clear Dry bright 4,03 47,0
385 Overcast Dry "mostly dark" 4,03 47,0
386 Clear Dry "mostly dark" 4,03 47,0
387 Overcast Wet "mostly dark" 4,03 47,0
388 Clear Dry "mostly dark" 4,03 47,0
389 Clear Dry "mostly dark" 4,03 47,0
390 Clear Dry "mostly dark" 4,03 47,0
391 Overcast Dry  5,82 48,0
392 Clear Dry "mostly dark" 5,82 48,0
393 Clear Dry bright 5,82 48,0
394 Clear Dry "mostly dark" 5,82 48,0
395 Clear Dry bright 5,82 48,0
396 Overcast Dry bright 5,82 48,0
397 Clear Dry bright 5,82 48,0
398 Clear Dry bright 5,82 48,0
399 Clear Dry bright 5,82 48,0
400 Overcast Dry "mostly bright" 5,82 48,0
401 Clear Dry bright 5,82 48,0
402 Clear Dry bright 5,82 48,0
403 Overcast Wet bright 5,82 48,0
404 Clear Dry bright 5,82 48,0
405 Clear Dry bright 5,82 48,0
406 Clear Dry bright 5,82 48,0
407 Overcast Dry bright 5,82 48,0
408 Clear Dry "mostly dark" 5,82 48,0
409 Raining Wet "mostly dark" 5,82 48,0
410 Overcast Wet "mostly dark" 5,82 48,0
411 Raining Wet "mostly dark" 5,82 48,0
412 Raining Wet "mostly dark" 5,82 48,0
413 Overcast Wet "mostly dark" 5,82 48,0
414 Raining Wet "mostly dark" 5,82 48,0
415 Overcast Wet "mostly dark" 5,82 48,0
416 Overcast Dry "mostly dark" 5,82 48,0
417 Clear Wet "mostly dark" 5,82 48,0
418 Overcast Wet "mostly dark" 5,82 48,0
419 Raining Wet "mostly dark" 5,82 48,0
420 Clear Wet  5,82 48,0
421 Clear Dry "mostly dark" 4,7 45,0
422 Overcast Wet "mostly dark" 4,7 45,0
423 Overcast Wet "mostly dark" 4,7 45,0
424 Clear Wet bright 4,7 45,0
425 Overcast Wet bright 4,7 45,0
426 Raining Wet bright 4,7 45,0
427 Overcast Dry bright 4,7 45,0
428 Overcast Dry bright 4,7 45,0
429 Clear Dry bright 4,7 45,0
430 Clear Dry "mostly bright" 4,7 45,0
431 Overcast Dry "mostly dark" 4,7 45,0
432 Overcast Dry "mostly dark" 4,7 45,0
433 Clear Dry "mostly dark" 4,7 45,0
434 Clear Dry "mostly dark" 4,7 45,0
435 Overcast Dry "mostly dark" 4,7 45,0
436 Clear Dry "mostly dark" 4,7 45,0
437 Clear Dry "mostly dark" 4,7 45,0
438 Clear Dry "mostly dark" 5,82 46,0
439 Clear Dry "mostly dark" 5,82 46,0
440 Clear Dry "mostly dark" 5,82 46,0
441 Overcast Dry "mostly dark" 5,82 46,0
442 Clear Dry "mostly dark" 5,82 46,0
443 Clear Dry "mostly dark" 5,82 46,0
444 Clear Dry "mostly dark" 5,82 46,0
445 Clear Dry "mostly dark" 5,82 46,0
446 Clear Dry bright 5,82 46,0
447 Clear Wet bright 5,82 46,0
448 Overcast Wet bright 5,82 46,0
449 Overcast Wet bright 5,82 46,0
450 Overcast Dry bright 5,82 46,0
451 Overcast Dry bright 5,82 46,0
452 Overcast Dry bright 5,82 46,0
453 Clear Dry bright 5,82 46,0
454 Overcast Dry bright 5,82 46,0
455 Clear Dry bright 5,82 46,0
456 Overcast Dry "mostly dark" 5,82 46,0
457 Clear Dry "mostly dark" 5,82 46,0
458 Clear Dry "mostly dark" 11,18 48,0
