,severity
9460,Minor
9461,Significant
9462,Minor
9463,Significant
9464,Minor
9465,Minor
9466,Minor
9467,Minor
9468,Minor
9469,Minor
9470,Significant
9471,Significant
9472,Significant
9473,Significant
9474,Significant
9475,Significant
9476,Significant
9477,Minor
9478,Minor
9479,Minor
9480,Significant
9481,Minor
9482,Minor
9483,Significant
9484,Significant
9485,Minor
9486,Minor
9487,Minor
9488,Minor
9489,Significant
9490,Minor
9491,Minor
9492,Minor
9493,Minor
9494,Minor
9495,Minor
9496,Significant
9497,Significant
9498,Minor
9499,Minor
9500,Minor
9501,Significant
9502,Minor
9503,Significant
9504,Significant
9505,Minor
9506,Significant
9507,Minor
9508,Minor
9509,Minor
9510,Minor
9511,Significant
9512,Minor
9513,Minor
9514,Minor
9515,Significant
9516,Minor
9517,Minor
9518,Minor
9519,Minor
9520,Significant
9521,Significant
9522,Significant
9523,Minor
9524,Minor
9525,Significant
9526,Significant
9527,Minor
9528,Significant
9529,Minor
9530,Minor
9531,Significant
9532,Minor
9533,Minor
9534,Significant
9535,Significant
9536,Minor
9537,Minor
9538,Minor
9539,Minor
9540,Significant
9541,Significant
9542,Significant
9543,Significant
9544,Minor
9545,Minor
9546,Minor
9547,Significant
9548,Significant
9549,Minor
9550,Minor
9551,Minor
9552,Minor
9553,Significant
9554,Significant
9555,Minor
9556,Significant
9557,Significant
9558,Minor
9559,Significant
9560,Significant
9561,Minor
9562,Minor
9563,Minor
9564,Minor
9565,Minor
9566,Significant
9567,Significant
9568,Minor
9569,Minor
9570,Significant
9571,Minor
9572,Minor
9573,Minor
9574,Minor
9575,Significant
9576,Minor
9577,Minor
9578,Minor
9579,Minor
9580,Minor
9581,Minor
9582,Significant
9583,Significant
9584,Significant
9585,Significant
9586,Minor
9587,Minor
9588,Minor
9589,Minor
9590,Minor
9591,Minor
9592,Minor
9593,Minor
9594,Significant
9595,Significant
9596,Minor
9597,Minor
9598,Significant
9599,Minor
9600,Minor
9601,Significant
9602,Minor
9603,Significant
9604,Minor
9605,Minor
9606,Minor
9607,Minor
9608,Minor
9609,Minor
9610,Minor
9611,Significant
9612,Minor
9613,Minor
9614,Minor
9615,Significant
9616,Minor
9617,Minor
9618,Minor
9619,Significant
9620,Severe
9621,Significant
9622,Minor
9623,Minor
9624,Minor
9625,Significant
9626,Minor
9627,Significant
9628,Minor
9629,Minor
9630,Minor
9631,Minor
9632,Significant
9633,Minor
9634,Minor
9635,Significant
9636,Minor
9637,Severe
9638,Significant
9639,Minor
9640,Minor
9641,Significant
9642,Minor
9643,Significant
9644,Minor
9645,Minor
9646,Minor
9647,Minor
9648,Severe
9649,Minor
9650,Minor
9651,Minor
9652,Significant
9653,Minor
9654,Minor
9655,Minor
9656,Significant
9657,Significant
9658,Minor
9659,Significant
9660,Minor
9661,Minor
9662,Minor
9663,Significant
9664,Minor
9665,Minor
9666,Minor
9667,Minor
9668,Minor
9669,Minor
9670,Significant
9671,Significant
9672,Minor
9673,Significant
9674,Minor
9675,Minor
9676,Minor
9677,Minor
9678,Minor
9679,Minor
9680,Significant
9681,Significant
9682,Minor
9683,Significant
9684,Minor
9685,Significant
9686,Minor
9687,Significant
9688,Minor
9689,Significant
9690,Minor
9691,Significant
9692,Minor
9693,Minor
9694,Significant
9695,Minor
9696,Minor
9697,Significant
9698,Minor
9699,Significant
9700,Significant
9701,Minor
9702,Minor
9703,Minor
9704,Significant
9705,Minor
9706,Significant
9707,Significant
9708,Minor
9709,Significant
9710,Minor
9711,Minor
9712,Minor
9713,Significant
9714,Minor
9715,Minor
9716,Significant
9717,Minor
9718,Minor
9719,Minor
9720,Minor
9721,Significant
9722,Minor
9723,Minor
9724,Significant
9725,Minor
9726,Significant
9727,Minor
9728,Significant
9729,Minor
9730,Significant
9731,Minor
9732,Significant
9733,Minor
9734,Minor
9735,Minor
9736,Minor
9737,Significant
9738,Minor
9739,Minor
9740,Significant
9741,Minor
9742,Significant
9743,Minor
9744,Minor
9745,Minor
9746,Significant
9747,Significant
9748,Significant
9749,Significant
9750,Minor
9751,Minor
9752,Minor
9753,Minor
9754,Minor
9755,Significant
9756,Significant
9757,Significant
9758,Minor
9759,Minor
9760,Significant
9761,Minor
9762,Minor
9763,Significant
9764,Minor
9765,Minor
9766,Minor
9767,Minor
9768,Significant
9769,Minor
9770,Minor
9771,Minor
9772,Minor
9773,Minor
9774,Significant
9775,Significant
9776,Minor
9777,Minor
9778,Minor
9779,Significant
9780,Significant
9781,Minor
9782,Minor
9783,Minor
9784,Significant
9785,Significant
9786,Significant
9787,Minor
9788,Minor
9789,Significant
9790,Severe
9791,Minor
9792,Significant
9793,Minor
9794,Significant
9795,Significant
9796,Significant
9797,Significant
9798,Minor
9799,Minor
9800,Minor
9801,Minor
9802,Minor
9803,Minor
9804,Minor
9805,Minor
9806,Significant
9807,Minor
9808,Minor
9809,Minor
9810,Minor
9811,Significant
9812,Minor
9813,Minor
9814,Significant
9815,Significant
9816,Minor
9817,Significant
9818,Minor
9819,Minor
9820,Minor
9821,Minor
9822,Minor
9823,Significant
9824,Minor
9825,Significant
9826,Minor
9827,Minor
9828,Significant
9829,Minor
9830,Minor
9831,Significant
9832,Significant
9833,Minor
9834,Minor
9835,Minor
9836,Minor
9837,Significant
9838,Minor
9839,Minor
9840,Significant
9841,Minor
9842,Minor
9843,Minor
9844,Minor
9845,Significant
9846,Minor
9847,Minor
9848,Minor
9849,Minor
9850,Minor
9851,Significant
9852,Significant
9853,Minor
9854,Minor
9855,Minor
9856,Minor
9857,Significant
9858,Minor
9859,Significant
9860,Minor
9861,Minor
9862,Minor
9863,Minor
9864,Minor
9865,Minor
9866,Minor
9867,Minor
9868,Minor
9869,Minor
9870,Minor
9871,Minor
9872,Minor
9873,Significant
9874,Minor
9875,Minor
9876,Minor
9877,Minor
9878,Significant
9879,Minor
9880,Significant
9881,Significant
9882,Significant
9883,Significant
9884,Minor
9885,Minor
9886,Minor
9887,Minor
9888,Significant
9889,Significant
9890,Significant
9891,Significant
9892,Significant
9893,Minor
9894,Minor
9895,Minor
9896,Minor
9897,Minor
9898,Minor
9899,Minor
9900,Significant
9901,Minor
9902,Significant
9903,Minor
9904,Minor
9905,Severe
9906,Minor
9907,Significant
9908,Significant
9909,Minor
9910,Significant
9911,Significant
9912,Minor
9913,Significant
9914,Minor
9915,Significant
9916,Significant
9917,Significant
9918,Minor
9919,Minor
9920,Minor
9921,Minor
9922,Minor
9923,Significant
9924,Significant
9925,Minor
9926,Significant
9927,Minor
9928,Significant
9929,Minor
9930,Significant
9931,Minor
9932,Significant
9933,Significant
9934,Minor
9935,Minor
9936,Minor
9937,Minor
9938,Significant
9939,Minor
9940,Minor
9941,Minor
9942,Significant
9943,Minor
9944,Significant
9945,Severe
9946,Significant
9947,Minor
9948,Minor
9949,Significant
9950,Severe
9951,Minor
9952,Minor
9953,Significant
9954,Significant
9955,Minor
9956,Significant
9957,Significant
9958,Minor
9959,Minor
9960,Minor
9961,Minor
9962,Minor
9963,Minor
9964,Significant
9965,Minor
9966,Significant
9967,Minor
9968,Significant
9969,Significant
9970,Significant
9971,Significant
9972,Severe
9973,Minor
9974,Minor
9975,Minor
9976,Minor
9977,Minor
9978,Minor
9979,Significant
9980,Significant
9981,Minor
9982,Minor
9983,Minor
9984,Minor
9985,Significant
9986,Minor
9987,Minor
9988,Significant
9989,Minor
9990,Minor
9991,Minor
9992,Minor
9993,Significant
9994,Minor
9995,Minor
9996,Significant
9997,Minor
9998,Minor
9999,Minor
10000,Minor
10001,Minor
10002,Significant
10003,Significant
10004,Significant
10005,Significant
10006,Severe
10007,Minor
10008,Significant
10009,Minor
10010,Minor
10011,Minor
10012,Minor
10013,Minor
10014,Minor
10015,Minor
10016,Minor
10017,Minor
10018,Minor
10019,Minor
10020,Minor
10021,Minor
10022,Minor
10023,Significant
10024,Minor
10025,Minor
10026,Minor
10027,Minor
10028,Minor
10029,Minor
10030,Minor
10031,Significant
10032,Minor
10033,Minor
10034,Significant
10035,Minor
10036,Minor
10037,Significant
10038,Significant
10039,Minor
10040,Significant
10041,Minor
10042,Minor
10043,Significant
10044,Minor
10045,Minor
10046,Minor
10047,Minor
10048,Severe
10049,Significant
10050,Minor
10051,Minor
10052,Minor
10053,Minor
10054,Significant
10055,Minor
10056,Minor
10057,Minor
10058,Minor
10059,Minor
10060,Significant
10061,Minor
10062,Minor
10063,Minor
10064,Minor
10065,Minor
10066,Significant
10067,Minor
10068,Minor
10069,Severe
10070,Minor
10071,Minor
10072,Minor
10073,Minor
10074,Minor
10075,Minor
10076,Significant
10077,Minor
10078,Minor
10079,Minor
10080,Significant
10081,Significant
10082,Severe
10083,Significant
10084,Minor
10085,Minor
10086,Significant
10087,Minor
10088,Minor
10089,Significant
10090,Minor
10091,Minor
10092,Minor
10093,Minor
10094,Minor
10095,Minor
10096,Minor
10097,Significant
10098,Minor
10099,Minor
10100,Minor
10101,Severe
10102,Minor
10103,Minor
10104,Minor
10105,Significant
10106,Minor
10107,Minor
10108,Significant
10109,Minor
10110,Significant
10111,Minor
10112,Significant
10113,Significant
10114,Minor
10115,Significant
10116,Minor
10117,Significant
10118,Minor
10119,Minor
10120,Minor
10121,Significant
10122,Minor
10123,Minor
10124,Significant
10125,Significant
10126,Minor
10127,Severe
10128,Significant
10129,Minor
10130,Minor
10131,Significant
10132,Significant
10133,Significant
10134,Minor
10135,Significant
10136,Minor
10137,Minor
10138,Minor
10139,Significant
10140,Minor
10141,Minor
10142,Minor
10143,Minor
10144,Minor
10145,Minor
10146,Significant
10147,Significant
10148,Minor
10149,Minor
10150,Significant
10151,Minor
10152,Minor
10153,Significant
10154,Minor
10155,Minor
10156,Minor
10157,Minor
10158,Minor
10159,Minor
10160,Minor
10161,Minor
10162,Minor
10163,Significant
10164,Minor
10165,Minor
10166,Minor
10167,Significant
10168,Significant
10169,Significant
10170,Significant
10171,Minor
10172,Significant
10173,Significant
10174,Significant
10175,Minor
10176,Minor
10177,Significant
10178,Minor
10179,Significant
10180,Significant
10181,Minor
10182,Significant
10183,Severe
10184,Minor
10185,Significant
10186,Minor
10187,Significant
10188,Significant
10189,Significant
10190,Minor
10191,Minor
10192,Minor
10193,Minor
10194,Significant
10195,Significant
10196,Minor
10197,Significant
10198,Minor
10199,Minor
10200,Minor
10201,Minor
10202,Minor
10203,Significant
10204,Significant
10205,Significant
10206,Minor
10207,Significant
10208,Significant
10209,Minor
10210,Minor
10211,Significant
10212,Minor
10213,Minor
10214,Significant
10215,Minor
10216,Minor
10217,Minor
10218,Minor
10219,Minor
10220,Minor
10221,Minor
10222,Minor
10223,Minor
10224,Minor
10225,Minor
10226,Minor
10227,Significant
10228,Minor
10229,Significant
10230,Minor
10231,Significant
10232,Minor
10233,Minor
10234,Minor
10235,Minor
10236,Minor
10237,Minor
10238,Minor
10239,Minor
10240,Minor
10241,Minor
10242,Significant
10243,Minor
10244,Minor
10245,Significant
10246,Minor
10247,Significant
10248,Minor
10249,Minor
10250,Minor
10251,Minor
10252,Minor
10253,Minor
10254,Minor
10255,Minor
10256,Significant
10257,Severe
10258,Significant
10259,Minor
10260,Minor
10261,Significant
10262,Significant
10263,Significant
10264,Significant
10265,Significant
10266,Minor
10267,Minor
10268,Significant
10269,Minor
10270,Minor
10271,Minor
10272,Minor
10273,Significant
10274,Minor
10275,Significant
10276,Minor
10277,Minor
10278,Minor
10279,Minor
10280,Minor
10281,Minor
10282,Minor
10283,Minor
10284,Minor
10285,Minor
10286,Minor
10287,Severe
10288,Minor
10289,Significant
10290,Significant
10291,Minor
10292,Minor
10293,Minor
10294,Minor
10295,Significant
10296,Minor
10297,Minor
10298,Significant
10299,Minor
10300,Significant
10301,Minor
10302,Minor
10303,Minor
10304,Significant
10305,Minor
10306,Minor
10307,Minor
10308,Minor
10309,Significant
10310,Minor
10311,Significant
10312,Minor
10313,Minor
10314,Minor
10315,Minor
10316,Minor
10317,Minor
10318,Minor
10319,Minor
10320,Minor
10321,Minor
10322,Significant
10323,Minor
10324,Minor
10325,Significant
10326,Significant
10327,Significant
10328,Minor
10329,Minor
10330,Minor
10331,Minor
10332,Minor
10333,Minor
10334,Minor
10335,Minor
10336,Minor
10337,Minor
10338,Minor
10339,Significant
10340,Minor
10341,Minor
10342,Significant
10343,Minor
10344,Minor
10345,Minor
10346,Significant
10347,Significant
10348,Minor
10349,Minor
10350,Minor
10351,Minor
10352,Minor
10353,Minor
10354,Minor
10355,Minor
10356,Minor
10357,Significant
10358,Significant
10359,Minor
10360,Significant
10361,Significant
10362,Minor
10363,Significant
10364,Minor
10365,Minor
10366,Minor
10367,Minor
10368,Significant
10369,Minor
10370,Minor
10371,Significant
10372,Significant
10373,Minor
10374,Significant
10375,Significant
10376,Minor
10377,Minor
10378,Significant
10379,Minor
10380,Minor
10381,Minor
10382,Significant
10383,Minor
10384,Significant
10385,Significant
10386,Minor
10387,Minor
10388,Significant
10389,Minor
10390,Minor
10391,Severe
10392,Minor
10393,Significant
10394,Minor
10395,Significant
10396,Minor
10397,Minor
10398,Minor
10399,Significant
10400,Minor
10401,Significant
10402,Minor
10403,Minor
10404,Significant
10405,Significant
10406,Minor
10407,Minor
10408,Significant
10409,Minor
10410,Minor
10411,Minor
10412,Minor
10413,Significant
10414,Minor
10415,Minor
10416,Minor
10417,Minor
10418,Significant
10419,Significant
10420,Significant
10421,Minor
10422,Significant
10423,Minor
10424,Significant
10425,Minor
10426,Significant
10427,Significant
10428,Minor
10429,Significant
10430,Minor
10431,Minor
10432,Minor
10433,Significant
10434,Minor
10435,Minor
10436,Minor
10437,Minor
10438,Minor
10439,Significant
10440,Significant
10441,Significant
10442,Minor
10443,Significant
10444,Significant
10445,Minor
10446,Minor
10447,Significant
10448,Significant
10449,Minor
10450,Significant
10451,Significant
10452,Minor
10453,Minor
10454,Minor
10455,Minor
10456,Minor
10457,Significant
10458,Minor
10459,Minor
10460,Minor
10461,Minor
10462,Minor
10463,Significant
10464,Minor
10465,Minor
10466,Minor
10467,Minor
10468,Significant
10469,Minor
10470,Minor
10471,Minor
10472,Minor
10473,Significant
10474,Significant
10475,Minor
10476,Minor
10477,Minor
10478,Minor
10479,Minor
10480,Minor
10481,Minor
10482,Minor
10483,Minor
10484,Minor
10485,Minor
10486,Significant
10487,Significant
10488,Minor
10489,Minor
10490,Minor
10491,Minor
10492,Minor
10493,Minor
10494,Minor
10495,Minor
10496,Minor
10497,Significant
10498,Significant
10499,Minor
10500,Minor
10501,Minor
10502,Minor
10503,Minor
10504,Minor
10505,Significant
10506,Minor
10507,Significant
10508,Minor
10509,Minor
10510,Minor
10511,Significant
10512,Significant
10513,Significant
10514,Minor
10515,Significant
10516,Significant
10517,Minor
10518,Significant
10519,Minor
10520,Minor
10521,Significant
10522,Significant
10523,Significant
10524,Minor
10525,Minor
10526,Significant
10527,Significant
10528,Minor
10529,Minor
10530,Minor
10531,Minor
10532,Minor
10533,Minor
10534,Minor
10535,Significant
10536,Significant
10537,Minor
10538,Minor
10539,Significant
10540,Significant
10541,Significant
10542,Minor
10543,Minor
10544,Significant
10545,Minor
10546,Minor
10547,Minor
10548,Minor
10549,Minor
10550,Significant
10551,Minor
10552,Minor
10553,Minor
10554,Minor
10555,Significant
10556,Minor
10557,Minor
10558,Minor
10559,Significant
10560,Significant
10561,Minor
10562,Minor
10563,Significant
10564,Minor
10565,Significant
10566,Significant
10567,Minor
10568,Minor
10569,Significant
10570,Significant
10571,Minor
10572,Significant
10573,Minor
10574,Minor
10575,Minor
10576,Significant
10577,Minor
10578,Minor
10579,Minor
10580,Minor
10581,Significant
10582,Significant
10583,Significant
10584,Significant
10585,Minor
10586,Minor
10587,Significant
10588,Significant
10589,Minor
10590,Significant
10591,Significant
10592,Minor
10593,Minor
10594,Minor
10595,Minor
10596,Minor
10597,Minor
10598,Minor
10599,Minor
10600,Minor
10601,Minor
10602,Minor
10603,Significant
10604,Minor
10605,Minor
10606,Minor
10607,Minor
10608,Significant
10609,Minor
10610,Minor
10611,Significant
10612,Significant
10613,Minor
10614,Minor
10615,Minor
10616,Minor
10617,Minor
10618,Minor
10619,Significant
10620,Minor
10621,Minor
10622,Minor
10623,Minor
10624,Severe
10625,Minor
10626,Significant
10627,Significant
10628,Minor
10629,Minor
10630,Minor
10631,Significant
10632,Minor
10633,Minor
10634,Minor
10635,Minor
10636,Significant
10637,Minor
10638,Minor
10639,Significant
10640,Minor
10641,Minor
10642,Minor
10643,Minor
10644,Minor
10645,Minor
10646,Minor
10647,Minor
10648,Minor
10649,Minor
10650,Significant
10651,Minor
10652,Significant
10653,Minor
10654,Minor
10655,Minor
10656,Minor
10657,Minor
10658,Significant
10659,Minor
10660,Minor
10661,Minor
10662,Minor
10663,Minor
10664,Minor
10665,Minor
10666,Significant
10667,Minor
10668,Significant
10669,Significant
10670,Significant
10671,Significant
10672,Minor
10673,Minor
10674,Significant
10675,Significant
10676,Significant
10677,Significant
10678,Minor
10679,Significant
10680,Minor
10681,Minor
10682,Significant
10683,Minor
10684,Significant
10685,Minor
10686,Significant
10687,Minor
10688,Minor
10689,Minor
10690,Minor
10691,Significant
10692,Significant
10693,Significant
10694,Significant
10695,Minor
10696,Significant
10697,Minor
10698,Significant
10699,Severe
10700,Minor
10701,Minor
10702,Significant
10703,Minor
10704,Minor
10705,Significant
10706,Minor
10707,Minor
10708,Minor
10709,Minor
10710,Minor
10711,Significant
10712,Significant
10713,Minor
10714,Minor
10715,Significant
10716,Significant
10717,Minor
10718,Significant
10719,Minor
10720,Minor
10721,Minor
10722,Minor
10723,Significant
10724,Minor
10725,Minor
10726,Minor
10727,Minor
10728,Minor
10729,Minor
10730,Significant
10731,Minor
10732,Minor
10733,Minor
10734,Significant
10735,Minor
10736,Minor
10737,Significant
10738,Significant
10739,Minor
10740,Significant
10741,Minor
10742,Significant
10743,Significant
10744,Minor
10745,Significant
10746,Minor
10747,Significant
10748,Significant
10749,Significant
10750,Minor
10751,Minor
10752,Significant
10753,Significant
10754,Significant
10755,Minor
10756,Significant
10757,Minor
10758,Minor
10759,Minor
10760,Minor
10761,Minor
10762,Minor
10763,Minor
10764,Minor
10765,Minor
10766,Minor
10767,Significant
10768,Minor
10769,Minor
10770,Severe
10771,Minor
10772,Minor
10773,Significant
10774,Significant
10775,Minor
10776,Minor
10777,Minor
10778,Minor
10779,Minor
10780,Minor
10781,Minor
10782,Significant
10783,Minor
10784,Significant
10785,Minor
10786,Significant
10787,Significant
10788,Significant
10789,Minor
10790,Minor
10791,Significant
10792,Minor
10793,Minor
10794,Minor
10795,Minor
10796,Minor
10797,Minor
10798,Minor
10799,Minor
10800,Significant
10801,Minor
10802,Significant
10803,Minor
10804,Minor
10805,Minor
10806,Minor
10807,Minor
10808,Significant
10809,Minor
10810,Minor
10811,Minor
10812,Significant
10813,Minor
10814,Minor
10815,Minor
10816,Minor
10817,Minor
10818,Minor
10819,Severe
10820,Minor
10821,Minor
10822,Minor
10823,Minor
10824,Minor
10825,Minor
10826,Minor
10827,Minor
10828,Minor
10829,Minor
10830,Minor
10831,Minor
10832,Minor
10833,Minor
10834,Minor
10835,Minor
10836,Minor
10837,Significant
10838,Minor
10839,Significant
10840,Minor
10841,Minor
10842,Minor
10843,Minor
10844,Minor
10845,Significant
10846,Minor
10847,Significant
10848,Minor
10849,Minor
10850,Minor
10851,Minor
10852,Minor
10853,Significant
10854,Significant
10855,Significant
10856,Minor
10857,Significant
10858,Significant
10859,Minor
10860,Minor
10861,Minor
10862,Minor
10863,Minor
10864,Significant
10865,Minor
10866,Minor
10867,Minor
10868,Minor
10869,Significant
10870,Significant
10871,Minor
10872,Significant
10873,Significant
10874,Minor
10875,Minor
10876,Significant
10877,Significant
10878,Significant
10879,Minor
10880,Minor
10881,Minor
10882,Significant
10883,Significant
10884,Significant
10885,Significant
10886,Minor
10887,Minor
10888,Significant
10889,Minor
10890,Significant
10891,Significant
10892,Significant
10893,Minor
10894,Minor
10895,Minor
10896,Significant
10897,Minor
10898,Significant
10899,Minor
10900,Minor
10901,Minor
10902,Minor
10903,Minor
10904,Minor
10905,Minor
10906,Minor
10907,Minor
10908,Minor
10909,Minor
10910,Significant
10911,Significant
10912,Minor
10913,Minor
10914,Minor
10915,Minor
10916,Minor
10917,Minor
10918,Significant
10919,Minor
10920,Minor
10921,Minor
10922,Minor
10923,Minor
10924,Significant
10925,Minor
10926,Minor
10927,Minor
10928,Minor
10929,Minor
10930,Minor
10931,Severe
10932,Significant
10933,Significant
10934,Significant
10935,Minor
10936,Significant
10937,Minor
10938,Significant
10939,Minor
10940,Minor
10941,Significant
10942,Significant
10943,Severe
10944,Significant
10945,Significant
10946,Significant
10947,Minor
10948,Minor
10949,Minor
10950,Significant
10951,Significant
10952,Minor
10953,Minor
10954,Minor
10955,Minor
10956,Significant
10957,Minor
10958,Minor
10959,Minor
10960,Minor
10961,Minor
10962,Significant
10963,Minor
10964,Minor
10965,Minor
10966,Minor
10967,Minor
10968,Minor
10969,Minor
10970,Significant
10971,Minor
10972,Minor
10973,Significant
10974,Minor
10975,Minor
10976,Significant
10977,Minor
10978,Minor
10979,Significant
10980,Minor
10981,Minor
10982,Minor
10983,Minor
10984,Minor
10985,Minor
10986,Minor
10987,Minor
10988,Significant
10989,Minor
10990,Minor
10991,Minor
10992,Minor
10993,Significant
10994,Minor
10995,Minor
10996,Minor
10997,Significant
10998,Minor
10999,Minor
11000,Minor
11001,Minor
11002,Minor
11003,Minor
11004,Significant
11005,Minor
11006,Significant
11007,Minor
11008,Minor
11009,Minor
11010,Minor
11011,Significant
11012,Minor
11013,Minor
11014,Significant
11015,Significant
11016,Minor
11017,Minor
11018,Minor
11019,Severe
11020,Minor
11021,Minor
11022,Minor
11023,Minor
11024,Minor
11025,Minor
11026,Minor
11027,Minor
11028,Minor
11029,Minor
11030,Minor
11031,Minor
11032,Minor
11033,Minor
11034,Significant
11035,Minor
11036,Minor
11037,Significant
11038,Minor
11039,Minor
11040,Minor
11041,Significant
11042,Minor
11043,Significant
11044,Minor
11045,Significant
11046,Significant
11047,Minor
11048,Minor
11049,Significant
11050,Minor
11051,Significant
11052,Significant
11053,Minor
11054,Minor
11055,Significant
11056,Minor
11057,Minor
11058,Minor
11059,Significant
11060,Minor
11061,Minor
11062,Minor
11063,Minor
11064,Minor
11065,Minor
11066,Significant
11067,Minor
11068,Significant
11069,Severe
11070,Significant
11071,Severe
11072,Minor
11073,Significant
11074,Significant
11075,Minor
11076,Significant
11077,Minor
11078,Significant
11079,Significant
11080,Minor
11081,Significant
11082,Minor
11083,Minor
11084,Significant
11085,Minor
11086,Minor
11087,Minor
11088,Minor
11089,Significant
11090,Significant
11091,Minor
11092,Significant
11093,Minor
11094,Minor
11095,Minor
11096,Severe
11097,Minor
11098,Minor
11099,Minor
11100,Severe
11101,Minor
11102,Minor
11103,Significant
11104,Significant
11105,Significant
11106,Significant
11107,Significant
11108,Minor
11109,Significant
11110,Minor
11111,Minor
11112,Minor
11113,Minor
11114,Minor
11115,Minor
11116,Minor
11117,Significant
11118,Significant
11119,Significant
11120,Minor
11121,Minor
11122,Significant
11123,Minor
11124,Significant
11125,Minor
11126,Minor
11127,Minor
11128,Minor
11129,Minor
11130,Minor
11131,Minor
11132,Minor
11133,Minor
11134,Significant
11135,Significant
11136,Minor
11137,Significant
11138,Significant
11139,Significant
11140,Minor
11141,Severe
11142,Significant
11143,Significant
11144,Minor
11145,Minor
11146,Significant
11147,Minor
11148,Minor
11149,Significant
11150,Minor
11151,Minor
11152,Minor
11153,Significant
11154,Minor
11155,Minor
11156,Minor
11157,Minor
11158,Minor
11159,Minor
11160,Minor
11161,Significant
11162,Significant
11163,Minor
11164,Minor
11165,Minor
11166,Minor
11167,Minor
11168,Minor
11169,Minor
11170,Severe
11171,Significant
11172,Minor
11173,Minor
11174,Minor
11175,Significant
11176,Minor
11177,Minor
11178,Minor
11179,Minor
11180,Minor
11181,Significant
11182,Minor
11183,Minor
11184,Minor
11185,Minor
11186,Minor
11187,Minor
11188,Minor
11189,Minor
11190,Significant
11191,Significant
11192,Severe
11193,Minor
11194,Significant
11195,Minor
11196,Minor
11197,Minor
11198,Significant
11199,Significant
11200,Minor
11201,Significant
11202,Minor
11203,Minor
11204,Minor
11205,Minor
11206,Minor
11207,Significant
11208,Minor
11209,Minor
11210,Minor
11211,Minor
11212,Significant
11213,Minor
11214,Minor
11215,Significant
11216,Minor
11217,Minor
11218,Minor
11219,Significant
11220,Significant
11221,Significant
11222,Minor
11223,Significant
11224,Minor
11225,Minor
11226,Significant
11227,Minor
11228,Significant
11229,Minor
11230,Minor
11231,Minor
11232,Minor
11233,Minor
11234,Minor
11235,Significant
11236,Minor
11237,Significant
11238,Minor
11239,Minor
11240,Minor
11241,Minor
11242,Minor
11243,Significant
11244,Minor
11245,Minor
11246,Significant
11247,Minor
11248,Minor
11249,Significant
11250,Minor
11251,Significant
11252,Minor
11253,Significant
11254,Minor
11255,Minor
11256,Significant
11257,Minor
11258,Minor
11259,Minor
11260,Minor
11261,Significant
11262,Minor
11263,Minor
11264,Minor
11265,Minor
11266,Significant
11267,Minor
11268,Minor
11269,Minor
11270,Minor
11271,Significant
11272,Minor
11273,Minor
11274,Significant
11275,Significant
11276,Minor
11277,Minor
11278,Minor
11279,Minor
11280,Significant
11281,Minor
11282,Significant
11283,Significant
11284,Minor
11285,Minor
11286,Minor
11287,Minor
11288,Minor
11289,Significant
11290,Minor
11291,Significant
11292,Significant
11293,Significant
11294,Minor
11295,Significant
11296,Minor
11297,Minor
11298,Minor
11299,Minor
11300,Significant
11301,Minor
11302,Minor
11303,Minor
11304,Severe
11305,Minor
11306,Minor
11307,Minor
11308,Minor
11309,Minor
11310,Significant
11311,Minor
11312,Significant
11313,Minor
11314,Minor
11315,Significant
11316,Significant
11317,Minor
11318,Minor
11319,Minor
11320,Minor
11321,Minor
11322,Minor
11323,Minor
11324,Minor
11325,Minor
11326,Minor
11327,Significant
11328,Minor
11329,Significant
11330,Minor
11331,Significant
11332,Significant
11333,Minor
11334,Minor
11335,Minor
11336,Minor
11337,Minor
11338,Significant
11339,Minor
11340,Significant
11341,Significant
11342,Minor
11343,Minor
11344,Significant
11345,Minor
11346,Minor
11347,Significant
11348,Minor
11349,Significant
11350,Significant
11351,Minor
11352,Minor
11353,Minor
11354,Minor
11355,Minor
11356,Minor
11357,Minor
11358,Significant
11359,Significant
11360,Minor
11361,Significant
11362,Significant
11363,Minor
11364,Minor
11365,Minor
11366,Minor
11367,Significant
11368,Minor
11369,Minor
11370,Minor
11371,Minor
11372,Severe
11373,Minor
11374,Minor
11375,Minor
11376,Significant
11377,Minor
11378,Minor
11379,Significant
11380,Minor
11381,Minor
11382,Minor
11383,Significant
11384,Significant
11385,Minor
11386,Significant
11387,Minor
11388,Minor
11389,Minor
11390,Minor
11391,Minor
11392,Minor
11393,Minor
11394,Significant
11395,Severe
11396,Significant
11397,Minor
11398,Significant
11399,Significant
11400,Significant
11401,Significant
11402,Minor
11403,Minor
11404,Minor
11405,Minor
11406,Significant
11407,Minor
11408,Significant
11409,Minor
11410,Minor
11411,Minor
11412,Significant
11413,Minor
11414,Minor
11415,Minor
11416,Minor
11417,Significant
11418,Significant
11419,Significant
11420,Minor
11421,Minor
11422,Minor
11423,Minor
11424,Minor
11425,Minor
11426,Significant
11427,Significant
11428,Significant
11429,Minor
11430,Significant
11431,Minor
11432,Minor
11433,Minor
11434,Minor
11435,Minor
11436,Minor
11437,Minor
11438,Minor
11439,Minor
11440,Minor
11441,Minor
11442,Minor
11443,Minor
11444,Significant
11445,Minor
11446,Minor
11447,Minor
11448,Minor
11449,Significant
11450,Minor
11451,Minor
11452,Minor
11453,Significant
11454,Minor
11455,Minor
11456,Significant
11457,Minor
11458,Minor
