	type	location	distracted	time
1	Parked Car	Mid-Block	yes	2.48
2	Rear Ended	Mid-Block	no	7.0
3	Head On	At Intersection	no	7.9
4	Rear Ended	At Intersection	no	10.63
5	Left Turn	At Intersection	no	10.68
6	Parked Car	Mid-Block	no	10.93
7	Angles	At Intersection	no	11.2
8	Rear Ended	Mid-Block	yes	12.07
9	Parked Car	Mid-Block	no	14.65
10	Rear Ended	Mid-Block	no	15.12
11	Angles	At Intersection	no	15.25
12	Parked Car	Mid-Block	no	15.67
13	Right Turn	At Intersection	yes	16.42
14	Angles	At Intersection	no	16.68
15	Sideswipe	Mid-Block	yes	17.55
16	Rear Ended	Mid-Block	no	18.15
17	Rear Ended	Mid-Block	yes	18.32
18	Angles	At Intersection	no	18.37
19	Left Turn	At Intersection	no	18.75
20	Rear Ended	Mid-Block	no	19.33
21	Parked Car	Mid-Block	no	20.08
22	Parked Car	Mid-Block	no	20.18
23	Rear Ended	Mid-Block	no	1.23
24	Parked Car	Mid-Block	no	1.97
25	Parked Car	Mid-Block	no	2.05
26	Parked Car	Driveway Junction	no	4.0
27	Head On	Mid-Block	no	6.05
28	Angles	At Intersection	no	7.4
29	Rear Ended	Mid-Block	no	8.4
30	Parked Car	Driveway Junction	no	8.5
31	Left Turn	At Intersection	no	9.0
32	Left Turn	At Intersection	no	9.73
33	Rear Ended	Mid-Block	yes	11.53
34	Sideswipe	Mid-Block	yes	11.75
35	Rear Ended	Mid-Block	yes	13.83
36	Parked Car	Mid-Block	no	14.85
37	Rear Ended	Mid-Block	no	15.0
38	Left Turn	At Intersection	no	16.07
39	Parked Car	Mid-Block	no	17.17
40	Rear Ended	Mid-Block	no	18.68
41	Angles	At Intersection	no	5.63
42	Pedestrian	At Intersection	yes	7.65
43	Angles	At Intersection	no	8.6
44	Left Turn	At Intersection	no	9.82
45	Rear Ended	Mid-Block	no	11.13
46	Left Turn	At Intersection	no	12.08
47	Parked Car	Mid-Block	no	12.3
48	Angles	At Intersection	no	13.25
49	Angles	At Intersection	no	15.6
50	Sideswipe	Mid-Block	no	16.0
51	Parked Car	Mid-Block	no	16.5
52	Left Turn	At Intersection	no	16.75
53	Rear Ended	Mid-Block	yes	16.8
54	Left Turn	At Intersection	no	17.8
55	Rear Ended	Mid-Block	no	17.98
56	Left Turn	Mid-Block	no	18.8
57	Sideswipe	Mid-Block	no	10.37
58	Rear Ended	Mid-Block	yes	10.75
59	Left Turn	At Intersection	no	11.42
60	Parked Car	Mid-Block	yes	12.78
61	Head On	Mid-Block	no	12.95
62	Sideswipe	Mid-Block	no	13.5
63	Right Turn	Mid-Block	no	13.55
64	Pedestrian	Mid-Block	no	13.83
65	Rear Ended	Mid-Block	yes	15.08
66	Angles	At Intersection	no	15.13
67	Parked Car	Mid-Block	no	17.77
68	Head On	Mid-Block	no	19.28
69	Head On	At Intersection	no	19.43
70	Parked Car	Driveway Junction	no	21.57
71	Parked Car	Mid-Block	no	7.33
72	Left Turn	At Intersection	no	7.47
73	Rear Ended	Mid-Block	yes	7.48
74	Left Turn	Mid-Block	yes	8.37
75	Parked Car	Mid-Block	no	9.95
76	Left Turn	At Intersection	no	10.75
77	Angles	At Intersection	no	13.17
78	Angles	At Intersection	no	14.72
79	Pedestrian	At Intersection	no	14.9
80	Angles	At Intersection	no	15.25
81	Rear Ended	Mid-Block	yes	15.7
82	Rear Ended	Mid-Block	no	16.82
83	Left Turn	At Intersection	no	16.93
84	Parked Car	Mid-Block	no	17.0
85	Rear Ended	Mid-Block	no	18.05
86	Left Turn	At Intersection	no	18.68
87	Rear Ended	Mid-Block	no	18.8
88	Angles	At Intersection	no	19.25
89	Angles	At Intersection	no	20.25
90	Parked Car	Mid-Block	no	20.8
91	Parked Car	Mid-Block	yes	21.07
92	Parked Car	Mid-Block	no	23.0
93	Angles	At Intersection	no	23.37
94	Rear Ended	Mid-Block	yes	11.08
95	Rear Ended	Mid-Block	yes	12.83
96	Parked Car	Mid-Block	no	13.25
97	Angles	At Intersection	no	13.48
98	Left Turn	At Intersection	no	13.75
99	Rear Ended	Mid-Block	no	13.75
100	Angles	At Intersection	no	13.77
101	Angles	At Intersection	no	13.95
102	Parked Car	Mid-Block	no	14.25
103	Right Turn	At Intersection	no	14.5
104	Rear Ended	Mid-Block	no	16.57
105	Pedestrian	At Intersection	no	18.28
106	Angles	At Intersection	no	18.88
107	Rear Ended	Mid-Block	yes	19.33
108	Sideswipe	Mid-Block	no	19.33
109	Rear Ended	At Intersection	no	20.08
110	Angles	At Intersection	no	20.17
111	Angles	At Intersection	yes	20.83
112	Parked Car	Mid-Block	no	21.92
113	Rear Ended	Mid-Block	no	22.68
114	Angles	Mid-Block	no	23.8
115	Head On	At Intersection	no	2.05
116	Parked Car	Mid-Block	no	2.1
117	Rear Ended	Mid-Block	no	2.22
118	Left Turn	At Intersection	no	2.33
119	Head On	Mid-Block	yes	9.78
120	Angles	At Intersection	no	12.15
121	Left Turn	At Intersection	no	12.55
122	Angles	At Intersection	no	14.42
123	Pedestrian	Driveway Junction	yes	17.33
124	Rear Ended	Mid-Block	no	18.23
125	Rear Ended	At Intersection	no	18.32
126	Left Turn	At Intersection	no	19.85
127	Sideswipe	Mid-Block	no	21.47
128	Parked Car	Mid-Block	no	22.43
129	Angles	At Intersection	no	23.18
130	Parked Car	Mid-Block	no	3.12
131	Rear Ended	Mid-Block	yes	6.6
132	Parked Car	Mid-Block	no	6.92
133	Parked Car	Mid-Block	no	7.07
134	Parked Car	Mid-Block	no	8.45
135	Rear Ended	Mid-Block	yes	9.48
136	Left Turn	At Intersection	no	9.5
137	Rear Ended	Mid-Block	no	10.27
138	Parked Car	Driveway Junction	no	10.37
139	Angles	At Intersection	no	12.33
140	Parked Car	Mid-Block	no	12.92
141	Head On	Mid-Block	no	13.3
142	Left Turn	At Intersection	no	14.87
143	Parked Car	Mid-Block	no	16.32
144	Sideswipe	Mid-Block	no	16.67
145	Sideswipe	Mid-Block	no	17.25
146	Sideswipe	Mid-Block	no	17.42
147	Rear Ended	Mid-Block	no	18.0
148	Pedestrian	At Intersection	no	18.18
149	Angles	At Intersection	no	18.25
150	Angles	At Intersection	no	18.38
151	Pedestrian	At Intersection	no	18.67
152	Pedestrian	Mid-Block	no	18.98
153	Pedestrian	At Intersection	no	22.33
154	Left Turn	At Intersection	no	7.33
155	Rear Ended	Mid-Block	yes	7.9
156	Angles	At Intersection	yes	7.92
157	Cycles	At Intersection	no	7.97
158	Rear Ended	Mid-Block	yes	8.73
159	Angles	At Intersection	no	9.13
160	Left Turn	At Intersection	no	10.38
161	Pedestrian	At Intersection	no	10.5
162	Sideswipe	Mid-Block	no	10.5
163	Rear Ended	Mid-Block	no	11.03
164	Left Turn	At Intersection	no	11.43
165	Left Turn	At Intersection	no	12.33
166	Right Turn	At Intersection	no	12.63
167	Left Turn	At Intersection	no	13.3
168	Rear Ended	Mid-Block	yes	14.38
169	Rear Ended	Mid-Block	yes	14.42
170	Left Turn	At Intersection	no	14.58
171	Rear Ended	Mid-Block	no	15.53
172	Angles	At Intersection	no	15.83
173	Angles	At Intersection	no	16.0
174	Right Turn	At Intersection	no	16.57
175	Rear Ended	Mid-Block	no	16.92
176	Angles	At Intersection	no	17.02
177	Pedestrian	At Intersection	no	17.57
178	Angles	Mid-Block	yes	17.93
179	Angles	At Intersection	no	18.58
180	Angles	At Intersection	no	19.0
181	Angles	At Intersection	no	19.75
182	Left Turn	At Intersection	no	21.93
183	Parked Car	At Intersection	no	23.85
184	Parked Car	Driveway Junction	no	3.4
185	Parked Car	Mid-Block	no	7.5
186	Rear Ended	Mid-Block	no	8.65
187	Sideswipe	Mid-Block	no	9.18
188	Parked Car	Mid-Block	no	9.33
189	Rear Ended	Mid-Block	yes	9.65
190	Angles	Mid-Block	no	11.5
191	Parked Car	Mid-Block	no	11.9
192	Left Turn	At Intersection	no	12.78
193	Head On	Mid-Block	no	12.92
194	Parked Car	Mid-Block	no	13.05
195	Rear Ended	Mid-Block	yes	13.83
196	Sideswipe	Mid-Block	no	14.58
197	Pedestrian	At Intersection	no	15.52
198	Pedestrian	Mid-Block	no	15.87
199	Parked Car	Mid-Block	no	16.5
200	Rear Ended	Mid-Block	yes	16.8
201	Rear Ended	At Intersection	yes	17.33
202	Angles	At Intersection	no	17.42
203	Angles	At Intersection	no	17.8
204	Parked Car	Mid-Block	yes	18.25
205	Cycles	At Intersection	no	18.83
206	Angles	At Intersection	no	21.18
207	Left Turn	At Intersection	no	23.0
208	Parked Car	Mid-Block	no	0.88
209	Pedestrian	At Intersection	no	8.5
210	Angles	At Intersection	no	9.23
211	Parked Car	Mid-Block	no	10.45
212	Angles	At Intersection	no	13.03
213	Rear Ended	Mid-Block	yes	14.42
214	Left Turn	At Intersection	no	14.73
215	Sideswipe	Mid-Block	no	14.83
216	Angles	At Intersection	no	15.33
217	Left Turn	Mid-Block	no	16.48
218	Parked Car	Mid-Block	no	18.33
219	Angles	At Intersection	no	18.5
220	Sideswipe	Mid-Block	no	19.28
221	Parked Car	Mid-Block	no	19.5
222	Sideswipe	Mid-Block	no	20.9
223	Angles	At Intersection	no	21.83
224	Rear Ended	Mid-Block	no	22.83
225	Parked Car	Driveway Junction	no	0.52
226	Parked Car	Driveway Junction	no	1.75
227	Rear Ended	Mid-Block	yes	2.17
228	Right Turn	Mid-Block	no	2.63
229	Angles	Mid-Block	no	2.72
230	Pedestrian	Driveway Junction	no	6.77
231	Rear Ended	Mid-Block	no	7.18
232	Left Turn	At Intersection	no	7.73
233	Rear Ended	Mid-Block	yes	8.33
234	Parked Car	Mid-Block	no	8.45
235	Rear Ended	Mid-Block	yes	8.78
236	Rear Ended	Mid-Block	no	9.13
237	Sideswipe	Mid-Block	no	10.0
238	Head On	Mid-Block	no	10.58
239	Rear Ended	Mid-Block	yes	11.0
240	Right Turn	At Intersection	no	12.47
241	Angles	At Intersection	no	13.32
242	Parked Car	Mid-Block	no	13.33
243	Parked Car	Mid-Block	no	14.12
244	Angles	At Intersection	no	15.57
245	Rear Ended	Mid-Block	yes	15.62
246	Rear Ended	Mid-Block	yes	16.43
247	Angles	At Intersection	no	16.6
248	Left Turn	At Intersection	yes	17.9
249	Sideswipe	Mid-Block	no	19.45
250	Left Turn	At Intersection	no	19.75
251	Parked Car	Mid-Block	no	19.93
252	Angles	At Intersection	no	20.05
253	Parked Car	Mid-Block	no	21.25
254	Sideswipe	Mid-Block	no	21.43
255	Angles	At Intersection	no	22.52
256	Pedestrian	At Intersection	no	2.18
257	Pedestrian	At Intersection	no	4.87
258	Angles	At Intersection	no	5.75
259	Angles	At Intersection	no	7.72
260	Left Turn	At Intersection	no	10.33
261	Angles	At Intersection	no	10.48
262	Angles	At Intersection	no	11.0
263	Rear Ended	Mid-Block	no	12.32
264	Rear Ended	Mid-Block	no	12.48
265	Pedestrian	At Intersection	yes	13.18
266	Rear Ended	Mid-Block	yes	13.37
267	Angles	At Intersection	no	13.38
268	Angles	At Intersection	no	13.67
269	Sideswipe	At Intersection	no	14.0
270	Parked Car	Driveway Junction	no	14.98
271	Angles	At Intersection	no	15.35
272	Parked Car	Mid-Block	no	16.33
273	Parked Car	Driveway Junction	no	17.0
274	Sideswipe	Mid-Block	no	17.03
275	Angles	At Intersection	no	17.83
276	Pedestrian	Mid-Block	no	17.9
277	Parked Car	Driveway Junction	no	18.0
278	Angles	At Intersection	no	18.13
279	Pedestrian	At Intersection	no	18.17
280	Pedestrian	At Intersection	no	18.38
281	Angles	Mid-Block	no	18.75
282	Rear Ended	Mid-Block	no	19.33
283	Sideswipe	Mid-Block	no	19.67
284	Left Turn	At Intersection	no	19.95
285	Angles	At Intersection	no	20.5
286	Parked Car	Mid-Block	no	20.75
287	Rear Ended	Mid-Block	no	21.58
288	Angles	At Intersection	no	22.33
289	Parked Car	Mid-Block	no	23.67
290	Left Turn	At Intersection	no	23.93
291	Parked Car	Mid-Block	no	0.53
292	Left Turn	At Intersection	no	2.35
293	Parked Car	Mid-Block	no	2.85
294	Parked Car	Mid-Block	no	4.3
295	Angles	At Intersection	no	8.8
296	Left Turn	At Intersection	no	12.3
297	Rear Ended	Mid-Block	no	12.5
298	Angles	At Intersection	no	12.67
299	Angles	At Intersection	no	12.93
300	Angles	At Intersection	no	13.98
301	Rear Ended	Mid-Block	no	18.03
302	Left Turn	At Intersection	no	18.35
303	Angles	At Intersection	no	18.78
304	Rear Ended	Mid-Block	yes	19.58
305	Angles	At Intersection	no	20.72
306	Angles	At Intersection	no	21.12
307	Sideswipe	Mid-Block	no	6.67
308	Rear Ended	Mid-Block	no	7.68
309	Rear Ended	Mid-Block	no	8.4
310	Angles	At Intersection	no	8.75
311	Rear Ended	Mid-Block	no	9.5
312	Parked Car	Mid-Block	no	10.0
313	Parked Car	Mid-Block	no	11.03
314	Parked Car	Mid-Block	no	11.48
315	Parked Car	Mid-Block	no	13.5
316	Rear Ended	Mid-Block	no	14.63
317	Angles	At Intersection	no	15.5
318	Angles	At Intersection	no	16.13
319	Angles	At Intersection	no	16.2
320	Parked Car	Mid-Block	no	17.0
321	Left Turn	Mid-Block	no	17.88
322	Parked Car	Mid-Block	no	18.5
323	Cycles	At Intersection	no	18.5
324	Angles	At Intersection	no	18.8
325	Parked Car	Mid-Block	no	22.83
326	Parked Car	Mid-Block	yes	1.98
327	Parked Car	Mid-Block	no	2.7
328	Rear Ended	Mid-Block	no	8.33
329	Rear Ended	Mid-Block	no	8.75
330	Sideswipe	At Intersection	no	9.58
331	Parked Car	At Intersection	yes	9.7
332	Parked Car	Mid-Block	no	11.43
333	Angles	At Intersection	no	12.02
334	Angles	At Intersection	no	13.32
335	Parked Car	Mid-Block	no	13.95
336	Angles	At Intersection	yes	14.25
337	Rear Ended	Mid-Block	no	14.35
338	Cycles	At Intersection	yes	17.17
339	Pedestrian	Mid-Block	no	17.58
340	Rear Ended	Mid-Block	no	17.67
341	Left Turn	At Intersection	no	17.7
342	Angles	At Intersection	no	22.25
343	Parked Car	Mid-Block	no	23.4
344	Angles	At Intersection	no	6.67
345	Head On	Mid-Block	no	6.72
346	Rear Ended	Mid-Block	no	6.73
347	Angles	At Intersection	no	7.78
348	Sideswipe	Mid-Block	no	8.47
349	Angles	At Intersection	no	9.43
350	Cycles	At Intersection	no	11.65
351	Parked Car	Mid-Block	no	13.42
352	Angles	At Intersection	no	14.0
353	Angles	At Intersection	no	14.23
354	Angles	At Intersection	no	14.32
355	Parked Car	Mid-Block	yes	15.6
356	Parked Car	Mid-Block	no	16.12
357	Angles	At Intersection	no	16.83
358	Cycles	At Intersection	no	17.25
359	Parked Car	Mid-Block	no	17.42
360	Cycles	Mid-Block	no	17.68
361	Rear Ended	Mid-Block	no	17.73
362	Rear Ended	Mid-Block	no	17.98
363	Left Turn	At Intersection	no	19.37
364	Parked Car	Driveway Junction	no	19.57
365	Head On	At Intersection	no	19.88
366	Parked Car	Mid-Block	yes	20.25
367	Angles	At Intersection	no	20.83
368	Parked Car	Mid-Block	no	23.95
369	Parked Car	Mid-Block	no	7.7
370	Angles	At Intersection	no	8.25
371	Angles	At Intersection	yes	8.9
372	Rear Ended	Mid-Block	no	8.92
373	Parked Car	Driveway Junction	no	9.0
374	Angles	At Intersection	no	9.0
375	Parked Car	Mid-Block	no	9.67
376	Angles	At Intersection	no	11.88
377	Rear Ended	Mid-Block	no	11.9
378	Angles	At Intersection	no	11.98
379	Angles	At Intersection	no	12.68
380	Angles	At Intersection	no	12.88
381	Parked Car	At Intersection	no	12.88
382	Pedestrian	At Intersection	no	13.67
383	Rear Ended	Mid-Block	yes	14.52
384	Parked Car	Mid-Block	no	15.3
385	Rear Ended	Mid-Block	yes	17.77
386	Parked Car	Mid-Block	no	19.5
387	Parked Car	Mid-Block	no	19.92
388	Angles	At Intersection	no	21.37
389	Parked Car	Mid-Block	no	21.57
390	Sideswipe	Mid-Block	no	23.42
391	Parked Car	Mid-Block	no	0.53
392	Sideswipe	Mid-Block	no	2.37
393	Parked Car	Mid-Block	no	5.67
394	Left Turn	At Intersection	no	6.23
395	Rear Ended	Mid-Block	no	7.33
396	Cycles	At Intersection	no	9.5
397	Angles	At Intersection	no	10.75
398	Parked Car	Driveway Junction	no	11.2
399	Rear Ended	Mid-Block	yes	12.08
400	Parked Car	Mid-Block	no	12.48
401	Angles	At Intersection	no	12.85
402	Parked Car	Mid-Block	no	14.33
403	Angles	At Intersection	no	14.7
404	Sideswipe	Mid-Block	yes	14.98
405	Cycles	At Intersection	no	15.0
406	Angles	At Intersection	no	15.28
407	Parked Car	Mid-Block	no	15.42
408	Rear Ended	Mid-Block	yes	18.17
409	Parked Car	Mid-Block	no	19.17
410	Angles	At Intersection	no	19.5
411	Pedestrian	At Intersection	no	20.0
412	Angles	At Intersection	no	20.5
413	Left Turn	At Intersection	no	20.83
414	Angles	At Intersection	no	21.03
415	Sideswipe	Mid-Block	no	21.12
416	Pedestrian	Mid-Block	yes	21.88
417	Parked Car	Driveway Junction	no	22.53
418	Rear Ended	Mid-Block	no	23.0
419	Sideswipe	Mid-Block	no	23.2
420	Rear Ended	Mid-Block	no	23.2
421	Parked Car	Mid-Block	no	1.05
422	Rear Ended	Mid-Block	yes	1.48
423	Parked Car	Mid-Block	no	2.33
424	Parked Car	Mid-Block	no	8.0
425	Parked Car	Mid-Block	no	11.17
426	Left Turn	At Intersection	no	12.5
427	Rear Ended	Mid-Block	yes	13.95
428	Angles	At Intersection	no	14.58
429	Parked Car	Mid-Block	yes	14.83
430	Parked Car	Mid-Block	no	16.37
431	Angles	At Intersection	no	18.88
432	Pedestrian	At Intersection	no	19.2
433	Left Turn	At Intersection	no	20.97
434	Rear Ended	Mid-Block	no	21.07
435	Parked Car	Mid-Block	no	22.38
436	Sideswipe	Mid-Block	no	22.47
437	Parked Car	Mid-Block	no	23.6
438	Parked Car	Mid-Block	no	0.02
439	Right Turn	At Intersection	no	1.67
440	Parked Car	Mid-Block	no	1.97
441	Left Turn	At Intersection	no	2.25
442	Angles	At Intersection	yes	2.58
443	Angles	At Intersection	no	3.83
444	Left Turn	At Intersection	no	4.0
445	Parked Car	Mid-Block	no	4.17
446	Angles	At Intersection	no	7.4
447	Sideswipe	Driveway Junction	no	9.83
448	Angles	At Intersection	no	9.88
449	Rear Ended	Mid-Block	no	11.82
450	Parked Car	Mid-Block	no	12.0
451	Angles	At Intersection	no	12.28
452	Angles	At Intersection	no	13.3
453	Pedestrian	At Intersection	yes	14.12
454	Angles	At Intersection	no	16.0
455	Angles	At Intersection	no	16.33
456	Rear Ended	Mid-Block	no	18.43
457	Left Turn	At Intersection	no	23.93
458	Angles	At Intersection	no	0.32
459	Cycles	At Intersection	no	7.62
460	Parked Car	Mid-Block	no	9.75
461	Right Turn	At Intersection	no	10.72
462	Parked Car	Mid-Block	no	11.5
463	Parked Car	Mid-Block	yes	11.67
464	Left Turn	At Intersection	no	12.33
465	Parked Car	Mid-Block	no	13.02
466	Pedestrian	At Intersection	no	13.3
467	Parked Car	Mid-Block	no	14.0
468	Rear Ended	Mid-Block	no	14.17
469	Angles	At Intersection	no	14.53
470	Parked Car	Mid-Block	no	14.62
471	Parked Car	Mid-Block	no	15.88
472	Rear Ended	At Intersection	no	16.5
473	Left Turn	At Intersection	no	18.45
474	Left Turn	At Intersection	no	19.57
475	Angles	At Intersection	no	20.12
476	Parked Car	Mid-Block	no	20.58
477	Rear Ended	Mid-Block	no	21.2
478	Parked Car	Mid-Block	yes	21.33
479	Left Turn	At Intersection	no	22.0
480	Rear Ended	At Intersection	no	1.88
481	Parked Car	Mid-Block	no	8.5
482	Right Turn	At Intersection	no	9.0
483	Left Turn	At Intersection	no	9.72
484	Cycles	At Intersection	no	10.05
485	Left Turn	At Intersection	yes	11.25
486	Parked Car	Mid-Block	no	12.32
487	Parked Car	Mid-Block	no	13.98
488	Rear Ended	Mid-Block	no	14.77
489	Cycles	Mid-Block	no	14.87
490	Left Turn	At Intersection	no	15.13
491	Rear Ended	Mid-Block	no	15.25
492	Sideswipe	Mid-Block	no	15.3
493	Angles	At Intersection	no	15.9
494	Sideswipe	Mid-Block	no	17.87
495	Parked Car	Mid-Block	no	18.05
496	Pedestrian	At Intersection	no	18.43
497	Angles	At Intersection	no	18.53
498	Parked Car	Mid-Block	no	18.6
499	Parked Car	Mid-Block	no	19.0
500	Angles	At Intersection	no	20.0
501	Angles	At Intersection	no	22.48
502	Parked Car	Mid-Block	no	1.83
503	Pedestrian	Mid-Block	no	6.45
504	Rear Ended	Mid-Block	yes	7.33
505	Rear Ended	Mid-Block	yes	7.83
506	Parked Car	Mid-Block	no	9.67
507	Parked Car	Mid-Block	no	10.0
508	Cycles	At Intersection	no	11.67
509	Parked Car	Mid-Block	no	12.0
510	Head On	Mid-Block	no	12.75
511	Rear Ended	Mid-Block	no	12.83
512	Angles	At Intersection	no	13.23
513	Parked Car	Driveway Junction	no	13.63
514	Angles	At Intersection	no	14.08
515	Rear Ended	Mid-Block	no	14.67
516	Parked Car	Mid-Block	no	15.0
517	Sideswipe	Mid-Block	no	16.25
518	Rear Ended	At Intersection	no	18.67
519	Left Turn	At Intersection	no	19.27
520	Angles	At Intersection	no	19.92
521	Parked Car	Mid-Block	yes	19.92
522	Sideswipe	Mid-Block	yes	20.32
523	Rear Ended	Mid-Block	yes	21.17
524	Parked Car	Mid-Block	no	23.95
525	Cycles	At Intersection	no	1.83
526	Parked Car	Mid-Block	no	2.4
527	Head On	Mid-Block	no	8.03
528	Parked Car	Mid-Block	no	9.67
529	Rear Ended	Mid-Block	yes	9.75
530	Angles	At Intersection	no	9.87
531	Parked Car	Mid-Block	no	10.0
532	Parked Car	Mid-Block	no	11.92
533	Rear Ended	Mid-Block	yes	12.48
534	Right Turn	At Intersection	no	13.0
535	Rear Ended	Mid-Block	no	14.08
536	Sideswipe	Mid-Block	yes	14.25
537	Angles	At Intersection	no	14.52
538	Sideswipe	Mid-Block	no	15.67
539	Angles	At Intersection	no	17.05
540	Rear Ended	Mid-Block	no	17.87
541	Angles	At Intersection	no	18.17
542	Parked Car	Mid-Block	yes	18.5
543	Rear Ended	Mid-Block	no	18.93
544	Angles	At Intersection	no	19.25
545	Parked Car	Mid-Block	no	20.67
546	Rear Ended	Mid-Block	yes	21.4
547	Left Turn	At Intersection	no	21.98
548	Angles	Mid-Block	no	22.37
549	Left Turn	At Intersection	no	22.95
550	Angles	At Intersection	no	1.17
551	Sideswipe	At Intersection	no	2.17
552	Parked Car	Mid-Block	no	2.53
553	Left Turn	At Intersection	no	6.1
554	Right Turn	Mid-Block	no	11.1
555	Sideswipe	At Intersection	no	11.72
556	Left Turn	At Intersection	no	12.82
557	Rear Ended	Mid-Block	no	12.98
558	Rear Ended	Mid-Block	no	14.03
559	Cycles	At Intersection	no	15.22
560	Angles	At Intersection	no	16.25
561	Rear Ended	At Intersection	no	17.97
562	Parked Car	Mid-Block	no	21.02
563	Parked Car	Mid-Block	no	21.15
564	Angles	At Intersection	no	22.0
565	Parked Car	Mid-Block	no	23.78
566	Angles	At Intersection	no	6.77
567	Rear Ended	Mid-Block	no	7.5
568	Rear Ended	At Intersection	no	7.78
569	Angles	At Intersection	no	8.02
570	Angles	At Intersection	no	9.12
571	Angles	Mid-Block	no	11.92
572	Sideswipe	Mid-Block	no	11.93
573	Angles	At Intersection	no	12.83
574	Parked Car	Mid-Block	no	13.0
575	Angles	At Intersection	no	14.22
576	Parked Car	Mid-Block	no	14.5
577	Left Turn	At Intersection	no	14.75
578	Angles	At Intersection	no	15.33
579	Parked Car	Mid-Block	no	15.8
580	Rear Ended	Mid-Block	no	16.1
581	Pedestrian	Mid-Block	no	16.3
582	Angles	At Intersection	no	16.95
583	Left Turn	At Intersection	no	17.12
584	Left Turn	At Intersection	no	17.15
585	Sideswipe	Mid-Block	no	17.5
586	Rear Ended	Mid-Block	yes	18.5
587	Sideswipe	Mid-Block	no	22.5
588	Parked Car	Mid-Block	no	2.25
589	Head On	Mid-Block	no	6.1
590	Rear Ended	Mid-Block	yes	6.95
591	Sideswipe	Mid-Block	no	7.17
592	Angles	At Intersection	no	7.6
593	Parked Car	Mid-Block	no	8.0
594	Pedestrian	At Intersection	no	8.17
595	Angles	At Intersection	no	8.42
596	Pedestrian	At Intersection	no	10.37
597	Angles	At Intersection	no	10.8
598	Angles	At Intersection	no	11.3
599	Angles	At Intersection	no	11.58
600	Parked Car	Mid-Block	no	11.7
601	Rear Ended	Mid-Block	no	12.25
602	Angles	At Intersection	no	13.17
603	Angles	At Intersection	no	14.25
604	Left Turn	At Intersection	no	15.0
605	Parked Car	Mid-Block	no	15.25
606	Rear Ended	Mid-Block	yes	16.5
607	Angles	At Intersection	no	16.67
608	Left Turn	At Intersection	no	17.82
609	Angles	At Intersection	no	18.25
610	Parked Car	Mid-Block	no	19.25
611	Rear Ended	Mid-Block	yes	19.78
612	Parked Car	Mid-Block	yes	20.78
613	Angles	At Intersection	no	21.42
614	Pedestrian	At Intersection	no	21.75
615	Parked Car	Mid-Block	no	22.07
616	Sideswipe	Mid-Block	no	6.58
617	Angles	At Intersection	no	7.1
618	Angles	At Intersection	no	8.37
619	Angles	At Intersection	no	8.97
620	Right Turn	At Intersection	no	9.08
621	Angles	At Intersection	no	9.17
622	Right Turn	Mid-Block	yes	9.27
623	Parked Car	Mid-Block	no	9.83
624	Parked Car	Mid-Block	no	10.98
625	Angles	At Intersection	no	11.1
626	Sideswipe	Mid-Block	no	11.67
627	Parked Car	Mid-Block	no	14.08
628	Right Turn	Mid-Block	yes	14.23
629	Parked Car	Mid-Block	no	14.72
630	Parked Car	Mid-Block	no	14.87
631	Pedestrian	At Intersection	no	16.08
632	Angles	At Intersection	no	16.17
633	Left Turn	At Intersection	no	16.18
634	Right Turn	At Intersection	yes	16.67
635	Parked Car	Mid-Block	no	17.0
636	Cycles	At Intersection	no	17.63
637	Parked Car	Mid-Block	no	17.75
638	Parked Car	Mid-Block	no	20.53
639	Angles	At Intersection	no	23.58
640	Left Turn	At Intersection	no	0.2
641	Left Turn	At Intersection	no	7.9
642	Rear Ended	Mid-Block	yes	8.67
643	Left Turn	At Intersection	no	9.0
644	Parked Car	Mid-Block	no	9.25
645	Rear Ended	Mid-Block	no	9.33
646	Rear Ended	Mid-Block	no	10.07
647	Parked Car	Mid-Block	yes	10.58
648	Angles	At Intersection	no	10.6
649	Parked Car	Mid-Block	no	11.0
650	Left Turn	At Intersection	no	12.0
651	Left Turn	Mid-Block	no	12.38
652	Angles	At Intersection	no	13.0
653	Parked Car	Mid-Block	no	13.67
654	Rear Ended	Mid-Block	yes	14.18
655	Angles	At Intersection	no	14.53
656	Angles	At Intersection	no	15.3
657	Right Turn	Mid-Block	no	15.33
658	Rear Ended	Mid-Block	no	15.52
659	Pedestrian	At Intersection	no	15.85
660	Rear Ended	Mid-Block	yes	16.08
661	Sideswipe	Mid-Block	no	17.35
662	Angles	At Intersection	yes	17.73
663	Parked Car	Mid-Block	no	19.0
664	Sideswipe	Mid-Block	no	19.92
665	Sideswipe	Mid-Block	no	20.0
666	Angles	At Intersection	no	20.08
667	Parked Car	Mid-Block	no	21.4
668	Rear Ended	Mid-Block	no	2.18
669	Pedestrian	At Intersection	no	7.25
670	Rear Ended	Mid-Block	yes	8.33
671	Angles	At Intersection	no	8.78
672	Angles	At Intersection	no	9.03
673	Parked Car	Mid-Block	yes	9.42
674	Rear Ended	Mid-Block	yes	10.75
675	Angles	At Intersection	no	10.83
676	Cycles	At Intersection	no	12.73
677	Rear Ended	Mid-Block	no	13.5
678	Rear Ended	Mid-Block	no	13.67
679	Pedestrian	Driveway Junction	no	13.88
680	Rear Ended	Mid-Block	yes	14.0
681	Parked Car	Mid-Block	no	14.5
682	Sideswipe	Mid-Block	yes	15.38
