	type	location	distracted	time
45911	Left Turn	At Intersection	no	12.9
45912	Left Turn	At Intersection	no	13.13
45913	Angles	At Intersection	no	13.32
45914	Rear Ended	At Intersection	no	13.37
45915	Parked Car	Mid-Block	no	14.27
45916	Rear Ended	Mid-Block	no	14.57
45917	Rear Ended	Mid-Block	no	14.72
45918	Right Turn	At Intersection	no	15.28
45919	Rear Ended	Mid-Block	no	15.4
45920	Angles	At Intersection	no	15.95
45921	Angles	Mid-Block	no	16.65
45922	Parked Car	Mid-Block	no	16.83
45923	Rear Ended	Mid-Block	yes	16.98
45924	Rear Ended	At Intersection	no	17.3
45925	Right Turn	At Intersection	no	17.37
45926	Angles	At Intersection	no	17.63
45927	Cycles	Mid-Block	no	17.93
45928	Rear Ended	Mid-Block	no	19.68
45929	Parked Car	Mid-Block	no	20.6
45930	Angles	At Intersection	no	21.78
45931	Sideswipe	At Intersection	no	22.75
45932	Angles	At Intersection	no	0.33
45933	Angles	At Intersection	no	2.77
45934	Angles	At Intersection	no	6.55
45935	Parked Car	At Intersection	no	8.0
45936	Angles	At Intersection	no	8.18
45937	Left Turn	At Intersection	no	11.37
45938	Parked Car	Mid-Block	no	11.98
45939	Angles	At Intersection	no	12.05
45940	Rear Ended	Mid-Block	no	12.67
45941	Angles	At Intersection	no	14.08
45942	Angles	At Intersection	no	14.12
45943	Angles	At Intersection	no	17.7
45944	Rear Ended	Mid-Block	no	19.65
45945	Rear Ended	Mid-Block	no	21.33
45946	Rear Ended	At Intersection	no	10.32
45947	Pedestrian	At Intersection	no	10.67
45948	Parked Car	Mid-Block	no	10.7
45949	Left Turn	At Intersection	no	11.25
45950	Rear Ended	Mid-Block	no	11.4
45951	Rear Ended	Mid-Block	yes	12.03
45952	Angles	At Intersection	no	12.53
45953	Angles	At Intersection	no	12.67
45954	Parked Car	At Intersection	no	12.72
45955	Angles	Mid-Block	no	12.95
45956	Angles	At Intersection	no	13.07
45957	Angles	Driveway Junction	no	14.08
